_id,SectionID,Highway,DIR,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,FUNC_CLASS
35,,QEW,S,93.702,96.567,90.81,9.39,1,AC,BURLINGTON SKYWAY SOUTH END,NORTH END BURLINGTON SKYWAY,FWY
36,,QEW,S,96.567,101.661,76.17,7.89,1.15,AC,NORTH END BURLINGTON SKYWAY,BRANT ST IC,FWY
37,,QEW,W,0.23,4.679,68.59,7.22,1.35,AC,FORT ERIE - CENTRAL AV IC,FORT ERIE - GILMORE RD IC-5,FWY
38,,QEW,W,4.679,13.227,68.09,7.12,1.3,AC,FORT ERIE - GILMORE RD IC-5,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,FWY
39,,QEW,W,36.544,39.849,91.91,9.48,0.96,AC,HWY 405,EAST END GARDEN CITY SKYWAY,FWY
40,,QEW,W,39.849,42.16,78.3,8.7,1.84,AC,EAST END GARDEN CITY SKYWAY,WEST END GARDEN CITY SKYWAY,FWY
41,,QEW,W,42.16,49.837,68.53,7.27,1.42,AC,WEST END GARDEN CITY SKYWAY,1.0 KM W OF HWY 406 IC (FIFTH ST),FWY
42,,QEW,W,49.837,51.134,72.65,7.77,1.27,CO,1.0 KM W OF HWY 406 IC (FIFTH ST),0.60 KM W OF SEVENTH ST IC,FWY
43,,QEW,W,51.134,57.436,82.29,8.68,1.09,CO,0.60 KM W OF SEVENTH ST IC,0.3 KM E OF VICTORIA AVE IC,FWY
44,,QEW,W,57.436,73.174,82.94,8.47,0.92,AC,0.3 KM E OF VICTORIA AVE IC,1.5 KM E OF CASABLANCA BLVD - IC-74,FWY
45,,QEW,W,73.174,75.606,86.54,8.85,0.84,CO,1.5 KM E OF CASABLANCA BLVD - IC-74,1.1 KM W OF CASABLANCA BLVD - IC-74,FWY
46,,QEW,W,75.606,82.518,93.92,9.52,0.74,AC,1.1 KM W OF CASABLANCA BLVD - IC-74,0.7KM E OF FRUITLANDS RD IC-83,FWY
47,,QEW,W,82.518,86.667,80.28,8.14,0.86,CO,0.7KM E OF FRUITLANDS RD IC-83,PINELANDS AV (GRAYS RD UP),FWY
48,,QEW,W,86.667,88.435,79.54,8.18,1.05,AC,PINELANDS AV (GRAYS RD UP),HAMILTON - CENTENNIAL PKWY IC-88,FWY
49,,QEW,W,101.661,104.426,66.87,6.86,1.15,AC,BRANT ST IC,0.9 KM E OF GUELPH LINE,FWY
50,,QEW,W,104.426,109.612,68.92,7.05,1.11,AC,0.9 KM E OF GUELPH LINE,BURLOAK DR IC-109,FWY
51,,QEW,W,109.612,113.598,75.25,7.86,1.23,AC,BURLOAK DR IC-109,THIRD LINE IC-113,FWY
52,,QEW,W,113.598,119.578,76.28,7.88,1.12,AC,THIRD LINE IC-113,0.8KM E TRAFALGAR RD IC-118,FWY
53,,QEW,W,119.578,125.923,88.63,9.14,0.99,AC,0.8KM E TRAFALGAR RD IC-118,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,FWY
54,,QEW,W,125.923,130.882,88.05,9.21,0.98,CO,1.2KM E OF WINSTON CHURCHILL BLVD IC-124,MISSISSAUGA RD IC-130,FWY
55,,QEW,W,130.882,137.488,76.59,8.24,1.27,CO,MISSISSAUGA RD IC-130,E OF DIXIE RD,FWY
56,,QEW,W,137.488,139.363,73.93,8.65,1.83,CO,E OF DIXIE RD,ETOBICOKE-HWY 427 IC-139,FWY
57,,10,B,29.554,34.176,64.75,6.87,1.45,AC,HWY 410 / HWY 10 BULL NOSE,CALEDON - PEEL RD 9 KING ST (VICTORIA),ART
58,,10,B,34.176,42.606,65.65,6.95,1.42,AC,CALEDON - PEEL RD 9 KING ST (VICTORIA),0.7 KM S OF S JCT PEEL RD 11,ART
59,,10,B,42.606,46.792,68.74,7.09,1.18,AC,0.7 KM S OF S JCT PEEL RD 11,1 KM S JCT PEEL RD 24-MAIN ST,ART
60,,10,B,46.792,48.657,71.74,8.35,2.29,AC,1 KM S JCT PEEL RD 24-MAIN ST,0.8KM N OF PEEL RD 24-MAIN ST,ART
61,,10,B,48.657,57.203,88.13,9.17,1.09,AC,0.8KM N OF PEEL RD 24-MAIN ST,JCT OF HWY 9 (ORANGEVILLE),ART
62,,10,B,57.203,59.338,84.81,9.16,1.52,AC,JCT OF HWY 9 (ORANGEVILLE),0.6 KM NORTH OF FOURTH AVE (ORANGEVILLE),ART
63,,10,B,59.338,63.325,91.57,9.65,1.21,AC,0.6 KM NORTH OF FOURTH AVE (ORANGEVILLE),1.8 KM NORTH OF HOCKLEY ROAD,ART
64,,10,B,63.325,67.399,93.4,9.63,0.94,AC,1.8 KM NORTH OF HOCKLEY ROAD,375M NORTH OF MONO SIDE RD (CAMILLA),ART
65,,10,B,67.399,77.494,93.64,9.68,0.97,AC,375M NORTH OF MONO SIDE RD (CAMILLA),E. JCT. HWY 89 (PRIMROSE),ART
66,,10,B,77.494,84.036,78.61,8.34,1.36,AC,JCT. HWY 89 & HWY 10,"SHELBURNE CONNECT LINK, 300M W OF DUFFERIN RD 124",ART
67,,10,B,84.036,89.283,93.04,9.59,0.94,AC,SHELBURNE N. LTS.,DUFFERIN RD 17 (MELANCTHON),ART
68,,10,B,89.283,101.599,95.39,9.68,0.73,AC,DUFFERIN RD 17 (MELANCTHON),DUFFERIN RD 23-GREY RD 9,ART
69,,10,B,101.599,117.84,93.14,9.48,0.79,AC,DUFFERIN RD 23-GREY RD 9,FLESHERTON-CAMPBELL ST,ART
70,,10,B,118.405,122.372,77.67,8.49,1.67,AC,FLESHERTON-MARGARET ST,405M NORTH OF ROAD 130,ART
71,,10,B,122.372,127.152,82.37,8.91,1.55,AC,405M NORTH OF ROAD 130,MARKDALE S LTS - L 104-105,ART
72,,10,B,128.45,142.597,86.42,9.15,1.29,AC,MARKDALE N LTS - L97-98,HOLLAND CENTRE - GREY RD 24,ART
73,,10,B,142.597,153.394,86.64,9.16,1.28,AC,HOLLAND CENTRE - GREY RD 24,CHATSWORTH - HWY 6-GARAFRAXA ST,ART
74,,101,B,0,22.7,81.9,8.8,1.48,AC,QUEBEC-ONTARIO PROV BDY,SEC HWY 672,COL
75,,101,B,22.7,37.596,58.09,6.39,1.76,AC,SEC HWY 672,38.2 KM W OF QUEBEC BDR,COL
76,,101,B,37.596,58.995,68.88,7.37,1.5,AC,38.2 KM W OF QUEBEC BDR,SECT HWY 572,COL
77,,101,B,58.995,73.791,93.88,9.41,0.6,AC,SECT HWY 572,BLACK R BR MATHESON,COL
78,,101,B,80.9,95.554,71.08,7.39,1.23,AC,WEST JCT HWY 11,1.1KM W OF NORTH DRIFT RIVER BR,ART
79,,101,B,95.554,105.355,65.79,6.99,1.45,AC,1.1KM W OF NORTH DRIFT RIVER BR,0.3 KM E OF JCT HWY 67 & 101,ART
80,,101,B,105.355,120.266,62.3,6.71,1.58,AC,0.3 KM E OF JCT HWY 67 & 101,KIDD CK RD (3KM E NEW MET SITE ENTRANCE),ART
81,,101,B,120.266,125.913,37.95,4.74,2.47,AC,KIDD CK RD (3KM E NEW MET SITE ENTRANCE),300 M E OF ICS 101-045-TIMMINS,ART
82,,101,B,125.913,129.94,58.67,6.58,1.91,AC,300 M E OF ICS 101-045-TIMMINS,ONR CROSSING,ART
83,,101,B,151.191,166.399,54.47,5.84,1.58,AC,0.2 KM E OF GOVERNMENT RD (KAMISOKTIA RD),JCT 144,ART
84,,101,B,166.399,183.454,93.57,9.49,0.75,AC,JCT 144,0.3 KM E OF LITTLE STAR LAKE RD,COL
85,,101,B,183.454,214.347,87.25,9,1.3,AC,0.3 KM E OF LITTLE STAR LAKE RD,NAT RIVER BR,COL
86,,101,B,214.347,225.196,93.75,9.53,0.77,AC,NAT RIVER BR,HORWOOD LAKE RD,COL
87,,101,B,225.196,245.487,92.33,9.43,0.84,AC,HORWOOD LAKE RD,0.3 KM W OF FOLYET - YOUNG STREET,COL
88,,101,B,245.487,293.275,66.34,7.57,2.08,AC,0.3 KM W OF FOLYET - YOUNG STREET,SHAWMERE R BR-SANDY TWP (NEW LISK/SSM BDY),COL
89,,101,B,293.275,314.687,61.15,6.74,1.77,AC,SHAWMERE R BR-SANDY TWP (NEW LISK/SSM BDY),7.7KM W OF NEMEGOSENDA R BR,COL
90,,101,B,314.687,338.973,61.05,6.84,1.9,AC,7.7KM W OF NEMEGOSENDA R BR,N JCT HWY 129-CHAPLEAU,COL
91,,101,B,338.973,346.559,76.43,8.25,1.55,AC,N JCT HWY 129-CHAPLEAU,S JCT HWY 129,COL
92,,101,B,346.559,373.298,71.07,8.32,2.35,AC,S JCT HWY 129,0.3 KM W OF LAWSON LAKE CULV,COL
93,,101,B,373.298,411.927,84.06,8.77,1.15,AC,0.3 KM W OF LAWSON LAKE CULV,2.2KM W OF SEC HWY 651,COL
94,,101,B,411.927,438.57,86.95,8.95,0.98,AC,2.2KM W OF SEC HWY 651,2.8 KM EAST OF MICHIPITCOTEN RIVER BR,COL
95,,101,B,438.57,453.055,87,9.09,1.14,AC,2.8 KM EAST OF MICHIPITCOTEN RIVER BR,SEC HWY 547 (TO HAWK JCT),COL
96,,101,B,453.055,471.282,72.46,7.52,1.2,AC,SEC HWY 547 (TO HAWK JCT),0.1 KM E OF WATSONS SKYWAYS RD,COL
97,,101,B,472.397,474.359,86.18,8.59,0.65,AC,WAWA S LTS - WINSTON CHURCHILL AV,HWY 17,COL
98,,102,B,0,0.2,71.91,8.2,2.09,AC,HWYS 11/17,THUNDER BAY,ART
99,,102,B,6.994,19.835,86.77,9.1,1.19,AC,0.2 KM W OF HWY 589,0.1KM E OF AUTO ROAD,ART
100,,102,B,19.835,32.99,80.37,8.54,1.37,AC,0.1KM E OF AUTO ROAD,SISTONEN'S CORNER - JCT HWY 17,ART
101,,105,B,0,30.61,87.77,9.1,1.05,AC,HWY 17,17.5 KM N OF HWY 609,COL
102,,105,B,30.61,61.631,82.33,8.65,1.24,AC,17.5 KM N OF HWY 609,JOHN & DIOSA'S RD (JIM&JULIES RD),COL
103,,105,B,61.631,100.924,86.65,8.86,0.91,AC,JOHN & DIOSA'S RD (JIM&JULIES RD),1.9 KM N OF TERT RD 804,COL
104,,105,B,100.924,130.886,83.63,8.64,1.05,AC,1.9 KM N OF TERT RD 804,SOUTH ABUT TROUT R BRIDGE,COL
105,,105,B,130.886,156.7,62.26,6.75,1.64,AC,SOUTH ABUT TROUT R BRIDGE,0.2 KM N OF DIXIE LAKE RD (STONE RIVER),COL
106,,105,B,156.7,170.79,69.25,7.63,1.76,AC,0.2 KM N OF DIXIE LAKE RD (STONE RIVER),HWY 125 - BALMERTOWN RD,COL
107,,105,B,170.79,173.62,54.82,6.36,2.16,AC,HWY 125 - BALMERTOWN RD,SEC HWY 618,COL
108,,108,B,0,24.904,79.07,8.51,1.51,AC,HWY 17,ELLIOT LAKE - 250M E OF MOUNTAIN RD,ART
109,,108,B,29.455,41.495,56.54,6.36,1.93,AC,TIMBER ROAD NORTH,SEC HWY 639-ALGOMA QUIRKE MINE,ART
110,,11,B,350.548,357.929,83.96,8.66,1.03,AC,6.9KM N OF JCT HWY 17/11B,NORTH BAY CITY LIMITS,ART
111,,11,B,357.929,367.765,91.35,9.26,0.77,AC,NORTH BAY CITY LIMITS,10.2 KM N OF NORTH BAY N LTS,ART
112,,11,B,367.765,373.653,72.46,7.87,1.62,AC,10.2 KM N OF NORTH BAY N LTS,16.6 KM N OF NORTH BAY N LTS,ART
113,,11,B,373.653,382.509,64.49,7.14,1.8,AC,16.6 KM N OF NORTH BAY N LTS,1.1 KM N OF YELLOWSTONE RD (E),ART
114,,11,B,382.509,392.059,76.17,8.23,1.56,AC,1.1 KM N OF YELLOWSTONE RD (E),9.3 KM S OF HWY 64,ART
115,,11,B,392.059,397.665,82.88,8.58,1.08,AC,9.3 KM S OF HWY 64,3.1 KM S OF JCT HWY 64 (GRAVEL RD E),ART
116,,11,B,397.665,410.956,83.31,8.54,0.98,AC,3.1 KM S OF JCT HWY 64 (GRAVEL RD E),9.9 KM N JCT HWY 64,ART
117,,11,B,410.956,418.617,74.94,7.86,1.28,AC,9.9 KM N JCT HWY 64,17.2 N OF HWY 64,ART
118,,11,B,418.617,429.086,78.29,8.25,1.3,AC,17.2 N OF HWY 64,0.2KM S OF WILSON LAKE RD (27.4KM N OF HWY 64),ART
119,,11,B,429.086,441.057,81.99,8.55,1.16,AC,0.2KM S OF WILSON LAKE RD (27.4KM N OF HWY 64),TEMAGAMI - FIRST AV,ART
120,,11,B,441.057,441.661,71.91,7.35,1.07,AC,TEMAGAMI - FIRST AV,500M N OF FIRST AVE,ART
121,,11,B,441.661,460.538,76.04,8,1.3,AC,500M N OF FIRST AVE,3.7 KM N OF NIPISSING/TEM DIST BDRY,ART
122,,11,B,460.538,473.523,70.56,7.82,1.81,AC,3.7 KM N OF NIPISSING/TEM DIST BDRY,LATCHFORD S LTS,ART
123,,11,B,473.523,474.664,79.33,8.26,1.17,AC,LATCHFORD S LTS,MARCOTTE AVE.,ART
124,,11,B,474.664,481.446,76.92,7.93,1.1,AC,MARCOTTE AVE.,300M N OF S JCT OF HWY 11B,ART
125,,11,B,481.446,500.789,64.67,7.16,1.8,AC,300M N OF S JCT OF HWY 11B,GOLF COURSE ROAD,ART
126,,11,B,500.789,511.738,49.2,5.55,1.94,AC,GOLF COURSE ROAD,SEC HWY 569-HILLIARDTON RD,ART
127,,11,B,511.738,539.184,71.35,7.41,1.21,AC,SEC HWY 569-HILLIARDTON RD,ENGLEHART:ENGLEHART R BR,ART
128,,11,B,539.184,541.572,86.76,9.02,1.09,AC,3.9KM N OF N JCT OF HWY 569 (Englehart R Br),Hwy 560,ART
129,,11,B,541.572,559.794,65.06,7.03,1.6,AC,Hwy 560,HWY 573,ART
130,,11,B,559.794,579.274,68.19,7.19,1.37,AC,HWY 573,HWY 66,ART
131,,11,B,579.274,591.197,69.35,7.49,1.58,AC,HWY 66,3.5 KM S OF SEC HWY 570,ART
132,,11,B,591.197,602.184,71.07,7.65,1.54,AC,3.5 KM S OF SEC HWY 570,6.5 KM N OF HWY 570,ART
133,,11,B,602.184,614.634,77.6,8.17,1.29,AC,6.5 KM N OF HWY 570,18.3 KM N OF HWY 570 (N BUTLER LAKE RD),ART
134,,11,B,614.634,620.52,93.99,9.47,0.67,AC,18.3 KM N OF HWY 570 (N BUTLER LAKE RD),1.2 KM S OF HWY 572,ART
135,,11,B,620.52,636.122,91.48,9.17,0.64,AC,1.2 KM S OF HWY 572,E JCT HWY 101,ART
136,,11,B,636.122,642.852,30.68,4.51,3.16,AC,E JCT HWY 101,W JCT HWY 101-MTC DIST BDY,ART
137,,11,B,642.852,677.592,90.66,9.15,0.73,AC,W JCT HWY 101-MTC DIST BDY,1.0 KM N OF OLD HWY 578 - NELLIE LAKE RD,ART
138,,11,B,677.592,697.136,59.19,6.66,1.94,AC,1.0 KM N OF OLD HWY 578 - NELLIE LAKE RD,20.6 KM W OF OLD HWY 578,ART
139,,11,B,697.136,714.255,88.77,9.11,0.93,AC,20.6 KM W OF OLD HWY 578,1.9 KM S OF JCT SEC HWY 579/652,ART
140,,11,B,714.255,717.806,78.28,8.53,1.64,AC,1.9 KM S OF JCT SEC HWY 579/652,0.4 KM W OF JCT HWY 11 & WESTERN AVE.,ART
141,,11,B,717.806,747.199,88.8,9.2,1.04,AC,0.4 KM W OF JCT HWY 11 & WESTERN AVE.,0.4 KM W OF CNR AT DRIFTWOOD,ART
142,,11,B,747.199,773.474,80.49,8.84,1.71,AC,0.4 KM W OF CNR AT DRIFTWOOD,MATTAGAMI RIVER BR,ART
143,,11,B,773.474,802.924,68.58,7.16,1.28,AC,MATTAGAMI RIVER BR,FAUQUIER EAST LT.,ART
144,,11,B,802.924,812.287,61.87,6.68,1.6,AC,FAUQUIER EAST LT.,JCT HWY 581 - MOONBEAM,ART
145,,11,B,812.287,827.877,66.04,6.73,1.11,AC,JCT HWY 581 - MOONBEAM,14.7KM W OF HWY581 (LILY R BR - KAPUSKASING E LTS),ART
146,,11,B,838.847,870.84,85.28,8.73,0.94,AC,25.6KM W OF HWY581 (OWENS RD-KAPUSKASING),OPASATIKA W LIMITS (.2 KM W OF HYUNDAI RD S),ART
147,,11,B,870.84,900.888,82.27,8.43,0.98,AC,OPASATIKA W LIMITS (.2 KM W OF HYUNDAI RD S),MATTICE- W END MISSINABI RIVER BR,ART
148,,11,B,900.888,929.07,83.97,8.63,1,AC,MATTICE- W END MISSINABI RIVER BR,HEARST - W END MATTAWISHKWIA RIVER BR,ART
149,,11,B,929.07,930.708,82.67,9,1.61,AC,HEARST - W END MATTAWISHKWIA RIVER BR,"SIXTH ST""",ART
150,,11,B,932.536,933.748,71.25,8,1.94,AC,15TH ST - HEARST,ALGOMA CENTRAL RAILWAY CROSSING-HEARST,ART
151,,11,B,933.748,950.055,87.25,9,1.45,AC,ALGOMA CENTRAL RAILWAY CROSSING-HEARST,15.0 KM W OF ALGOMA CENTRAL RAILWAY CR,ART
152,,11,B,950.055,965.653,75.06,7.95,1.37,AC,15.0 KM W OF ALGOMA CENTRAL RAILWAY CR,SEC HWY 663 (TO CALSTOCK STA),ART
153,,11,B,965.653,986.697,67.58,7.42,1.73,AC,SEC HWY 663 (TO CALSTOCK STA),SHEKAK RIVER BR,ART
154,,11,B,986.697,997.306,69.43,7.75,1.88,AC,SHEKAK RIVER BR,200M W OF FINTRY RD,ART
155,,11,B,997.306,1002.724,83.24,8.66,1.13,AC,200M W OF FINTRY RD,8.1KM WEST OF HWY 631 (McMILLAN LAKE),ART
156,,11,B,1002.724,1017.798,80.98,8.48,1.21,AC,8.1KM WEST OF HWY 631 (McMILLAN LAKE),FRAZER RIVER BR,ART
157,,11,B,1017.798,1054.135,80.73,8.51,1.28,AC,FRAZER RIVER BR,COCHRANE-THUNDER BAY DIST BDY,ART
158,,11,B,1054.135,1072.182,85.49,8.81,1.01,AC,COCHRANE-THUNDER BAY DIST BDY,9.7 KM W OF N PAGWACHUAN R BR,ART
159,,11,B,1072.182,1099.464,82.39,8.62,1.19,AC,9.7 KM W OF N PAGWACHUAN R BR,HOILES CK BR,ART
160,,11,B,1099.464,1121.053,88.72,9.09,0.91,AC,HOILES CK BR,5.4 KM E OF HWY 625,ART
161,,11,B,1121.053,1142.23,84.04,8.81,1.2,AC,5.4 KM E OF HWY 625,KING ST - OTTER RD,ART
162,,11,B,1142.23,1175.644,90.74,9.35,0.96,AC,KING ST - OTTER RD,0.27 KM W OF HWY 584,ART
163,,11,B,1175.644,1203.364,88.13,9.14,1.05,AC,0.27 KM W OF HWY 584,STURGEON R BR,ART
164,,11,B,1203.364,1230.904,86.11,8.93,1.07,AC,STURGEON R BR,TERTIARY RD 801 - TO AUDEN,ART
165,,11,B,1230.904,1254.108,85.49,8.81,1.01,AC,TERTIARY RD 801 - TO AUDEN,0.59KM W OF SEC HWY 580,ART
166,,11,B,1254.108,1283.098,62.26,6.26,1.05,AC,0.59KM W OF SEC HWY 580,49.6KM N OF HWY 17,ART
167,,11,B,1283.098,1308.928,87.25,9,0.93,AC,49.6KM N OF HWY 17,25KM N OF HWY 17/11 JCT - NIPIGON,ART
168,,11,B,1308.928,1332.766,65.69,7.36,1.91,AC,25KM N OF HWY 17/11 JCT - NIPIGON,HWY 17/11 JCT - NIPIGON,ART
169,,11,B,1332.766,1336.628,79.06,8.39,1.36,AC,HWY 17/11 JCT - NIPIGON,SEC HWY 585 - CAMERON FALLS RD,ART
170,,11,B,1336.628,1338.679,67.69,7.15,1.39,AC,SEC HWY 585 - CAMERON FALLS RD,STILLWATER CK BR,ART
171,,11,B,1349.322,1351.375,48.03,5.8,2.39,AC,4.3 KM S OF HWY 628,6.4 KM S OF HWY 628,ART
172,,11,B,1351.375,1359.826,66.42,7.34,1.79,AC,6.4 KM S OF HWY 628,0.64 KM N OF N JCT HWY 582 - HURKETT RD,ART
173,,11,B,1359.826,1365.197,64.47,7.01,1.65,AC,0.64 KM N OF N JCT HWY 582 - HURKETT RD,0.64KM S JCT SEC HWY 582,ART
174,,11,B,1365.197,1377.455,80.64,8.4,1.16,AC,0.64KM S JCT SEC HWY 582,QUIMET-CPR OVERHEAD,ART
175,,11,B,1377.455,1386.663,82.14,8.44,1.01,AC,QUIMET-CPR OVERHEAD,5.9 S OF SUPERIOR SHORES RD,ART
176,,11,B,1386.663,1399.58,79.14,8.22,1.15,AC,5.9 S OF SUPERIOR SHORES RD,8.4KM E OF LAKESHORE DR (DIVIDED HWY STARTS),ART
177,,11,B,1438.932,1441.238,78.97,8.4,1.39,AC,T BAY - BALSAM AV,T BAY - RED R RD -E JCT HWY 102,ART
178,,11,B,1441.238,1442.419,76.69,8.15,1.39,AC,T BAY - RED R RD -E JCT HWY 102,T BAY - JOHN ST,ART
179,,11,B,1442.419,1447.211,80.5,8.42,1.21,AC,T BAY - JOHN ST,HARBOUR EXPRESSWAY,ART
180,,11,B,1447.211,1459.369,86.98,8.99,1.03,AC,HARBOUR EXPRESSWAY,0.7 KM W OF HWY 130/VIBERT RD,ART
181,,11,B,1459.369,1473.098,81.62,8.25,0.85,AC,0.7 KM W OF HWY 130/VIBERT RD,OLIVER RD - KAKABEKA,ART
182,,11,B,1473.098,1474.959,80.39,8.72,1.58,AC,OLIVER RD - KAKABEKA,0.1 KM E OF HWY 590,ART
183,,11,B,1474.959,1490.293,78.57,8.39,1.43,AC,0.1 KM E OF HWY 590,SISTONEN'S CORS - W JCT HWY 102,ART
184,,11,B,1490.293,1511.249,76.91,8.14,1.35,AC,SISTONEN'S CORS - W JCT HWY 102,HWY 17 (SHABAQUA CORNERS),ART
185,,11,B,1511.249,1542.37,86.72,8.85,0.89,AC,HWY 17 (SHABAQUA CORNERS),0.1 KM W OF PORTAGE BAY RD,ART
186,,11,B,1542.37,1570.399,88.14,9.04,0.93,AC,0.1 KM W OF PORTAGE BAY RD,12.2 KM W OF HWY 802,ART
187,,11,B,1570.399,1599.312,84.6,8.84,1.16,AC,12.2 KM W OF HWY 802,4 KM W OF RAINY RIVER THUNDERBAY DIST BDY,ART
188,,11,B,1599.312,1629.835,93.04,9.53,0.87,AC,4 KM W OF RAINY RIVER THUNDERBAY DIST BDY,ARAMIS LAKE(5 KM W OF HWY 623),ART
189,,11,B,1629.835,1646.393,87.17,8.92,0.92,AC,ARAMIS LAKE(5 KM W OF HWY 623),.2 KM W OF HWY 11B - TO ATIKOKAN,ART
