_id,SectionID,Highway,DIR,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,FUNC_CLASS
80,,101,B,125.913,129.94,62.28,6.95,1.87,AC,300 M E OF ICS 101-045-TIMMINS,ONR CROSSING,ART
81,,101,B,151.191,166.399,60.91,6.48,1.49,AC,0.2 KM E OF GOVERNMENT RD (KAMISOKTIA RD),JCT 144,ART
82,,101,B,166.399,183.454,83.85,8.84,1.26,AC,JCT 144,0.3 KM E OF LITTLE STAR LAKE RD,COL
83,,101,B,183.454,214.347,79.99,8.56,1.44,AC,0.3 KM E OF LITTLE STAR LAKE RD,NAT RIVER BR,COL
84,,101,B,214.347,225.196,93.09,9.57,0.91,AC,NAT RIVER BR,HORWOOD LAKE RD,COL
85,,101,B,225.196,245.487,93.01,9.6,0.95,AC,HORWOOD LAKE RD,0.3 KM W OF FOLYET - YOUNG STREET,COL
86,,101,B,245.487,293.275,74.86,8.15,1.64,AC,0.3 KM W OF FOLYET - YOUNG STREET,SHAWMERE R BR-SANDY TWP (NEW LISK/SSM BDY),COL
87,,101,B,293.275,314.687,63.53,6.91,1.66,AC,SHAWMERE R BR-SANDY TWP (NEW LISK/SSM BDY),7.7KM W OF NEMEGOSENDA R BR,COL
88,,101,B,314.687,338.973,66.37,7.31,1.76,AC,7.7KM W OF NEMEGOSENDA R BR,N JCT HWY 129-CHAPLEAU,COL
89,,101,B,338.973,346.559,73.37,7.91,1.55,AC,N JCT HWY 129-CHAPLEAU,S JCT HWY 129,COL
90,,101,B,346.559,373.298,45.24,5.45,2.35,AC,S JCT HWY 129,0.3 KM W OF LAWSON LAKE CULV,COL
91,,101,B,373.298,411.927,78.75,8.18,1.15,AC,0.3 KM W OF LAWSON LAKE CULV,2.2KM W OF SEC HWY 651,COL
92,,101,B,411.927,438.57,88.21,9.09,0.98,AC,2.2KM W OF SEC HWY 651,2.8 KM EAST OF MICHIPITCOTEN RIVER BR,COL
93,,101,B,438.57,453.055,88.17,9.22,1.14,AC,2.8 KM EAST OF MICHIPITCOTEN RIVER BR,SEC HWY 547 (TO HAWK JCT),COL
94,,101,B,453.055,471.282,85.69,8.99,1.2,AC,SEC HWY 547 (TO HAWK JCT),0.1 KM E OF WATSONS SKYWAYS RD,COL
95,,101,B,472.397,474.359,95.9,9.67,0.65,AC,WAWA S LTS - WINSTON CHURCHILL AV,HWY 17,COL
96,,102,B,0,0.2,74.25,8.46,2.09,AC,HWYS 11/17,THUNDER BAY,ART
97,,102,B,6.994,19.835,88.27,9.29,1.21,AC,0.2 KM W OF HWY 589,0.1KM E OF AUTO ROAD,ART
98,,102,B,19.835,32.99,85.87,9.17,1.39,AC,0.1KM E OF AUTO ROAD,SISTONEN'S CORNER - JCT HWY 17,ART
99,,105,B,0,30.61,90.96,9.38,0.96,AC,HWY 17,17.5 KM N OF HWY 609,COL
100,,105,B,30.61,61.631,86.49,9.05,1.16,AC,17.5 KM N OF HWY 609,JOHN & DIOSA'S RD (JIM&JULIES RD),COL
101,,105,B,61.631,100.924,76.84,7.94,1.12,AC,JOHN & DIOSA'S RD (JIM&JULIES RD),1.9 KM N OF TERT RD 804,COL
102,,105,B,100.924,130.886,89.34,9.2,0.96,AC,1.9 KM N OF TERT RD 804,SOUTH ABUT TROUT R BRIDGE,COL
103,,105,B,130.886,156.7,70.22,7.49,1.46,AC,SOUTH ABUT TROUT R BRIDGE,0.2 KM N OF DIXIE LAKE RD (STONE RIVER),COL
104,,105,B,156.7,170.79,73.94,8.08,1.67,AC,0.2 KM N OF DIXIE LAKE RD (STONE RIVER),HWY 125 - BALMERTOWN RD,COL
105,,105,B,170.79,173.62,58.27,6.69,2.09,AC,HWY 125 - BALMERTOWN RD,SEC HWY 618,COL
106,,108,B,0,24.904,81.72,8.78,1.48,AC,HWY 17,ELLIOT LAKE - 250M E OF MOUNTAIN RD,ART
107,,108,B,29.455,41.495,60.08,6.65,1.81,AC,TIMBER ROAD NORTH,SEC HWY 639-ALGOMA QUIRKE MINE,ART
108,,11,B,350.548,357.929,88.91,9.21,1.03,AC,6.9KM N OF JCT HWY 17/11B,NORTH BAY CITY LIMITS,ART
109,,11,B,357.929,367.765,93.67,9.55,0.81,AC,NORTH BAY CITY LIMITS,10.2 KM N OF NORTH BAY N LTS,ART
110,,11,B,367.765,373.653,66.21,7.44,1.93,AC,10.2 KM N OF NORTH BAY N LTS,16.6 KM N OF NORTH BAY N LTS,ART
111,,11,B,373.653,382.509,66.47,7.36,1.81,AC,16.6 KM N OF NORTH BAY N LTS,1.1 KM N OF YELLOWSTONE RD (E),ART
112,,11,B,382.509,392.059,79.77,8.63,1.56,AC,1.1 KM N OF YELLOWSTONE RD (E),9.3 KM S OF HWY 64,ART
113,,11,B,392.059,397.665,86.19,8.91,1.04,AC,9.3 KM S OF HWY 64,3.1 KM S OF JCT HWY 64 (GRAVEL RD E),ART
114,,11,B,397.665,410.956,85.91,8.8,0.94,AC,3.1 KM S OF JCT HWY 64 (GRAVEL RD E),9.9 KM N JCT HWY 64,ART
115,,11,B,410.956,418.617,78.34,8.19,1.22,AC,9.9 KM N JCT HWY 64,17.2 N OF HWY 64,ART
116,,11,B,418.617,429.086,81.48,8.58,1.27,AC,17.2 N OF HWY 64,0.2KM S OF WILSON LAKE RD (27.4KM N OF HWY 64),ART
117,,11,B,429.086,441.057,84.59,8.81,1.13,AC,0.2KM S OF WILSON LAKE RD (27.4KM N OF HWY 64),TEMAGAMI - FIRST AV,ART
118,,11,B,441.057,441.661,74.04,7.75,1.26,AC,TEMAGAMI - FIRST AV,500M N OF FIRST AVE,ART
119,,11,B,441.661,460.538,78.41,8.27,1.31,AC,500M N OF FIRST AVE,3.7 KM N OF NIPISSING/TEM DIST BDRY,ART
120,,11,B,460.538,473.523,74.11,8.16,1.75,AC,3.7 KM N OF NIPISSING/TEM DIST BDRY,LATCHFORD S LTS,ART
121,,11,B,473.523,474.664,80.46,8.46,1.26,AC,LATCHFORD S LTS,MARCOTTE AVE.,ART
122,,11,B,474.664,481.446,80.12,8.28,1.09,AC,MARCOTTE AVE.,300M N OF S JCT OF HWY 11B,ART
123,,11,B,481.446,500.789,67.9,7.48,1.76,AC,300M N OF S JCT OF HWY 11B,GOLF COURSE ROAD,ART
124,,11,B,500.789,511.738,51.4,5.81,1.95,AC,GOLF COURSE ROAD,SEC HWY 569-HILLIARDTON RD,ART
125,,11,B,511.738,539.184,76.35,7.91,1.15,AC,SEC HWY 569-HILLIARDTON RD,ENGLEHART:ENGLEHART R BR,ART
126,,11,B,539.184,541.572,91.06,9.46,1.05,AC,3.9KM N OF N JCT OF HWY 569 (Englehart R Br),Hwy 560,ART
127,,11,B,541.572,559.794,69.96,7.51,1.52,AC,Hwy 560,HWY 573,ART
128,,11,B,559.794,579.274,73.16,7.68,1.3,AC,HWY 573,HWY 66,ART
129,,11,B,579.274,591.197,73.71,7.89,1.48,AC,HWY 66,3.5 KM S OF SEC HWY 570,ART
130,,11,B,591.197,602.184,73.66,7.88,1.47,AC,3.5 KM S OF SEC HWY 570,6.5 KM N OF HWY 570,ART
131,,11,B,602.184,614.634,80.44,8.44,1.24,AC,6.5 KM N OF HWY 570,18.3 KM N OF HWY 570 (N BUTLER LAKE RD),ART
132,,11,B,614.634,620.52,95.98,9.67,0.64,AC,18.3 KM N OF HWY 570 (N BUTLER LAKE RD),1.2 KM S OF HWY 572,ART
133,,11,B,620.52,636.122,93.36,9.37,0.63,AC,1.2 KM S OF HWY 572,E JCT HWY 101,ART
134,,11,B,636.122,642.852,45.16,5.61,2.55,AC,E JCT HWY 101,W JCT HWY 101-MTC DIST BDY,ART
135,,11,B,642.852,677.592,81.67,9.02,1.77,AC,W JCT HWY 101-MTC DIST BDY,1.0 KM N OF OLD HWY 578 - NELLIE LAKE RD,ART
136,,11,B,677.592,697.136,64.98,7.67,2.37,AC,1.0 KM N OF OLD HWY 578 - NELLIE LAKE RD,20.6 KM W OF OLD HWY 578,ART
137,,11,B,697.136,714.255,94.64,9.53,0.65,AC,20.6 KM W OF OLD HWY 578,1.9 KM S OF JCT SEC HWY 579/652,ART
138,,11,B,714.255,717.806,79.66,8.73,1.69,AC,1.9 KM S OF JCT SEC HWY 579/652,0.4 KM W OF JCT HWY 11 & WESTERN AVE.,ART
139,,11,B,717.806,747.199,89.98,9.34,1.05,AC,0.4 KM W OF JCT HWY 11 & WESTERN AVE.,0.4 KM W OF CNR AT DRIFTWOOD,ART
140,,11,B,747.199,773.474,69.6,7.63,1.71,AC,0.4 KM W OF CNR AT DRIFTWOOD,MATTAGAMI RIVER BR,ART
141,,11,B,773.474,802.924,71.46,7.64,1.48,AC,MATTAGAMI RIVER BR,FAUQUIER EAST LT.,ART
142,,11,B,802.924,812.287,66.49,7.29,1.72,AC,FAUQUIER EAST LT.,JCT HWY 581 - MOONBEAM,ART
143,,11,B,812.287,827.877,75.94,7.94,1.24,AC,JCT HWY 581 - MOONBEAM,14.7KM W OF HWY581 (LILY R BR - KAPUSKASING E LTS),ART
144,,11,B,838.847,870.84,89.85,9.21,0.91,AC,25.6KM W OF HWY581 (OWENS RD-KAPUSKASING),OPASATIKA W LIMITS (.2 KM W OF HYUNDAI RD S),ART
145,,11,B,870.84,900.888,88.79,9.1,0.92,AC,OPASATIKA W LIMITS (.2 KM W OF HYUNDAI RD S),MATTICE- W END MISSINABI RIVER BR,ART
146,,11,B,900.888,929.07,88.86,9.1,0.91,AC,MATTICE- W END MISSINABI RIVER BR,HEARST - W END MATTAWISHKWIA RIVER BR,ART
147,,11,B,929.07,930.708,78.93,8.52,1.54,AC,HEARST - W END MATTAWISHKWIA RIVER BR,"SIXTH ST""",ART
148,,11,B,932.536,933.748,71.3,8,1.93,AC,15TH ST - HEARST,ALGOMA CENTRAL RAILWAY CROSSING-HEARST,ART
149,,11,B,933.748,950.055,75.47,8.17,1.58,AC,ALGOMA CENTRAL RAILWAY CROSSING-HEARST,15.0 KM W OF ALGOMA CENTRAL RAILWAY CR,ART
150,,11,B,950.055,965.653,78.12,8.36,1.45,AC,15.0 KM W OF ALGOMA CENTRAL RAILWAY CR,SEC HWY 663 (TO CALSTOCK STA),ART
151,,11,B,965.653,986.697,72.01,7.82,1.62,AC,SEC HWY 663 (TO CALSTOCK STA),SHEKAK RIVER BR,ART
152,,11,B,986.697,997.306,73.35,8.12,1.8,AC,SHEKAK RIVER BR,200M W OF FINTRY RD,ART
153,,11,B,997.306,1002.724,82.63,8.78,1.35,AC,200M W OF FINTRY RD,8.1KM WEST OF HWY 631 (McMILLAN LAKE),ART
154,,11,B,1002.724,1017.798,71.57,7.57,1.38,AC,8.1KM WEST OF HWY 631 (McMILLAN LAKE),FRAZER RIVER BR,ART
155,,11,B,1017.798,1054.135,80.92,8.56,1.32,AC,FRAZER RIVER BR,COCHRANE-THUNDER BAY DIST BDY,ART
156,,11,B,1054.135,1072.182,81.47,8.4,1.05,AC,COCHRANE-THUNDER BAY DIST BDY,9.7 KM W OF N PAGWACHUAN R BR,ART
157,,11,B,1072.182,1099.464,82.08,8.73,1.37,AC,9.7 KM W OF N PAGWACHUAN R BR,HOILES CK BR,ART
158,,11,B,1099.464,1121.053,86.96,9.01,1.05,AC,HOILES CK BR,5.4 KM E OF HWY 625,ART
159,,11,B,1121.053,1142.23,76.96,7.95,1.11,AC,5.4 KM E OF HWY 625,KING ST - OTTER RD,ART
160,,11,B,1142.23,1175.644,98.87,10,0.65,AC,KING ST - OTTER RD,0.27 KM W OF HWY 584,ART
161,,11,B,1175.644,1203.364,86.69,8.98,1.05,AC,0.27 KM W OF HWY 584,STURGEON R BR,ART
162,,11,B,1203.364,1230.904,87.17,9.1,1.13,AC,STURGEON R BR,TERTIARY RD 801 - TO AUDEN,ART
163,,11,B,1230.904,1254.108,85.12,8.86,1.12,AC,TERTIARY RD 801 - TO AUDEN,0.59KM W OF SEC HWY 580,ART
164,,11,B,1254.108,1283.098,76.39,7.83,1.05,AC,0.59KM W OF SEC HWY 580,49.6KM N OF HWY 17,ART
165,,11,B,1283.098,1308.928,75.13,7.8,1.18,AC,49.6KM N OF HWY 17,25KM N OF HWY 17/11 JCT - NIPIGON,ART
166,,11,B,1308.928,1332.766,69.16,7.81,1.99,AC,25KM N OF HWY 17/11 JCT - NIPIGON,HWY 17/11 JCT - NIPIGON,ART
167,,11,B,1332.766,1336.628,83.17,8.87,1.39,AC,HWY 17/11 JCT - NIPIGON,SEC HWY 585 - CAMERON FALLS RD,ART
168,,11,B,1336.628,1338.679,73.15,7.61,1.21,AC,SEC HWY 585 - CAMERON FALLS RD,STILLWATER CK BR,ART
169,,11,B,1349.322,1351.375,49.11,5.9,2.37,AC,4.3 KM S OF HWY 628,6.4 KM S OF HWY 628,ART
170,,11,B,1351.375,1359.826,70.23,7.72,1.73,AC,6.4 KM S OF HWY 628,0.64 KM N OF N JCT HWY 582 - HURKETT RD,ART
171,,11,B,1359.826,1365.197,68.94,7.44,1.57,AC,0.64 KM N OF N JCT HWY 582 - HURKETT RD,0.64KM S JCT SEC HWY 582,ART
172,,11,B,1365.197,1377.455,74.08,7.86,1.39,AC,0.64KM S JCT SEC HWY 582,QUIMET-CPR OVERHEAD,ART
173,,11,B,1377.455,1386.663,79.9,8.28,1.12,AC,QUIMET-CPR OVERHEAD,5.9 S OF SUPERIOR SHORES RD,ART
174,,11,B,1386.663,1399.58,83.78,8.68,1.08,AC,5.9 S OF SUPERIOR SHORES RD,8.4KM E OF LAKESHORE DR (DIVIDED HWY STARTS),ART
175,,11,B,1438.932,1441.238,68.62,7.56,1.76,AC,T BAY - BALSAM AV,T BAY - RED R RD -E JCT HWY 102,ART
176,,11,B,1441.238,1442.419,68.25,7.5,1.74,AC,T BAY - RED R RD -E JCT HWY 102,T BAY - JOHN ST,ART
177,,11,B,1442.419,1447.211,69.33,7.54,1.64,AC,T BAY - JOHN ST,HARBOUR EXPRESSWAY,ART
178,,11,B,1447.211,1459.369,90.83,9.44,1.05,AC,HARBOUR EXPRESSWAY,0.7 KM W OF HWY 130/VIBERT RD,ART
179,,11,B,1459.369,1473.098,83.28,8.61,1.06,AC,0.7 KM W OF HWY 130/VIBERT RD,OLIVER RD - KAKABEKA,ART
180,,11,B,1473.098,1474.959,77.47,8.9,2.19,AC,OLIVER RD - KAKABEKA,0.1 KM E OF HWY 590,ART
181,,11,B,1474.959,1490.293,80.83,8.58,1.35,AC,0.1 KM E OF HWY 590,SISTONEN'S CORS - W JCT HWY 102,ART
182,,11,B,1490.293,1511.249,80.17,8.56,1.42,AC,SISTONEN'S CORS - W JCT HWY 102,HWY 17 (SHABAQUA CORNERS),ART
183,,11,B,1511.249,1542.37,89.69,9.2,0.92,AC,HWY 17 (SHABAQUA CORNERS),0.1 KM W OF PORTAGE BAY RD,ART
184,,11,B,1542.37,1570.399,97,10,0.9,AC,0.1 KM W OF PORTAGE BAY RD,12.2 KM W OF HWY 802,ART
185,,11,B,1570.399,1599.312,94.57,10,1.23,AC,12.2 KM W OF HWY 802,4 KM W OF RAINY RIVER THUNDERBAY DIST BDY,ART
186,,11,B,1599.312,1629.835,92.77,9.55,0.93,AC,4 KM W OF RAINY RIVER THUNDERBAY DIST BDY,ARAMIS LAKE(5 KM W OF HWY 623),ART
187,,11,B,1629.835,1646.393,90.4,9.22,0.85,AC,ARAMIS LAKE(5 KM W OF HWY 623),.2 KM W OF HWY 11B - TO ATIKOKAN,ART
188,,11,B,1646.393,1661.805,98.87,10,0.65,AC,.2 KM W OF HWY 11B - TO ATIKOKAN,16 KM W OF HWY 11B,ART
189,,11,B,1661.805,1684.633,98.87,10,0.65,AC,16 KM W OF HWY 11B,FLANDERS RD,ART
